formation_date,effective_date,signal_date,variant,lexicon,lambda,direction,ticker,sector,base_weight,ticker_z,tilt_multiplier,pre_normalisation_weight,target_weight,signal_available,clipped_to_zero,fallback_used
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,ABBV,Healthcare,0.163122517381283,,1.0,0.163122517381283,0.163122517381283,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,ABT,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,ADBE,Tech,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,AEP,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,AMD,Tech,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,AMGN,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,AMT,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,BA,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,CAT,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,CCI,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,CMCSA,Comm,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,COP,Energy,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,CVX,Energy,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,D,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,DD,Materials,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,DIS,Consumer,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,DOW,Materials,0.0,,1.0,0.0,0.0,False,False,False
2020-12-31,2021-01-04,2020-12-31,Equity-Only Minimum Variance,none,0.0,base,DUK,Utilities,0.0,,1.0,0.0,0.0,False,False,False
