date,sector,baseline_compound,extended_compound,baseline_score_100,extended_score_100,baseline_z_expanding,extended_z_expanding,baseline_band,extended_band,headline_count,active_ticker_count,sector_universe_size,coverage_ratio
2021-01-04,Comm,0.025838888888888894,0.05297777777777779,51.29194444444445,52.64888888888889,,,,,10,3,5,0.6
2021-01-04,Consumer,0.02131488888888889,-0.00566466666666666,51.06574444444445,49.716766666666665,,,,,27,5,5,1.0
2021-01-04,Energy,0.010089583333333334,0.010089583333333334,50.50447916666667,50.50447916666667,,,,,14,4,5,0.8
2021-01-04,Financials,0.2907875,0.2907875,64.53937499999999,64.53937499999999,,,,,13,4,5,0.8
2021-01-04,Healthcare,0.10176875,0.10176875,55.0884375,55.0884375,,,,,12,4,5,0.8
2021-01-04,Industrials,0.09333749999999999,0.09333749999999999,54.666875000000005,54.666875000000005,,,,,13,2,5,0.4
2021-01-04,Materials,0.022216666666666666,0.022216666666666666,51.11083333333334,51.11083333333334,,,,,6,3,5,0.6
2021-01-04,RealEstate,0.009,0.009,50.449999999999996,50.449999999999996,,,,,2,1,5,0.2
2021-01-04,Tech,0.11864333333333334,0.13492666666666667,55.932166666666674,56.74633333333333,,,,,14,3,5,0.6
2021-01-04,Utilities,0.024175,0.024175,51.20875,51.20875,,,,,4,1,5,0.2
2021-01-05,Comm,0.09771666666666667,0.09771666666666667,54.88583333333333,54.88583333333333,,,,,17,5,5,1.0
2021-01-05,Consumer,0.03788166666666667,0.03788166666666667,51.89408333333333,51.89408333333333,,,,,18,5,5,1.0
2021-01-05,Energy,0.092525,0.1044,54.62625,55.22,,,,,15,5,5,1.0
2021-01-05,Financials,0.29652166666666663,0.29652166666666663,64.82608333333333,64.82608333333333,,,,,13,3,5,0.6
2021-01-05,Healthcare,0.06894444444444445,0.06894444444444445,53.44722222222222,53.44722222222222,,,,,6,3,5,0.6
2021-01-05,Industrials,0.2116240740740741,0.2116240740740741,60.5812037037037,60.5812037037037,,,,,14,3,5,0.6
2021-01-05,Materials,0.11873333333333332,0.11873333333333332,55.93666666666667,55.93666666666667,,,,,3,3,5,0.6
2021-01-05,RealEstate,0.0059375,0.0059375,50.296875,50.296875,,,,,5,4,5,0.8
2021-01-05,Tech,0.10762916666666666,0.10762916666666666,55.381458333333335,55.381458333333335,,,,,14,4,5,0.8
2021-01-05,Utilities,0.1799333333333333,0.1799333333333333,58.99666666666666,58.99666666666666,,,,,3,3,5,0.6
2021-01-06,Comm,0.1251847619047619,0.1251847619047619,56.259238095238096,56.259238095238096,,,,,13,3,5,0.6
2021-01-06,Consumer,0.045183333333333325,0.01202333333333333,52.259166666666665,50.601166666666664,,,,,16,5,5,1.0
2021-01-06,Energy,-0.008569999999999998,-0.008569999999999998,49.5715,49.5715,,,,,16,5,5,1.0
2021-01-06,Financials,0.1991875,0.1991875,59.959375,59.959375,,,,,18,4,5,0.8
