variant,lexicon,lambda,direction,annual_return,annual_volatility,sharpe_ratio,max_drawdown,cumulative_gross_return,cumulative_net_return,initial_turnover,avg_rebalance_turnover_ex_initial,total_turnover
Equity-Only Minimum Variance,none,0.0,base,0.0520369402211531,0.127241399686973,0.4622993012086835,-0.1532312523445875,0.17099979946790045,0.16367229533868644,1.0,0.15124215783545752,6.293475524241013
Extended Sentiment Momentum,extended,1.0,momentum,0.046194960389221995,0.12983242180366372,0.4127517581735873,-0.14815542003551596,0.15919439836035765,0.14446993247886408,1.0,0.33734783182354033,12.807174113823912
Extended Sentiment Contrarian,extended,-1.0,contrarian,0.06061381165596447,0.13480141554534564,0.5039505243268794,-0.163546027530026,0.2075664062278728,0.192250687983766,1.0,0.3370329717311398,12.796154010589893
