scope,n_headlines,mean_delta,median_delta,mean_abs_delta,delta_p10,delta_p25,delta_p50,delta_p75,delta_p90,positive_share,negative_share,no_change_share,sign_flip_rate,pearson_corr,spearman_corr
all_headlines,109875,-0.0009091012514220706,0.0,0.012025100341296929,0.0,0.0,0.0,0.0,0.0,0.013934015927189989,0.011840728100113766,0.9742252559726963,0.008982935153583617,0.9489708096932774,0.963130481177028
custom_term_hit,2832,-0.03527100988700565,0.23495,0.46654586864406783,-0.6230299999999999,-0.5423,0.23495,0.39390000000000003,0.5237999999999999,0.5406073446327684,0.4593926553672316,0.0,0.3485169491525424,0.3491987183761168,0.43003096886392106
score_changed,2832,-0.03527100988700565,0.23495,0.46654586864406783,-0.6230299999999999,-0.5423,0.23495,0.39390000000000003,0.5237999999999999,0.5406073446327684,0.4593926553672316,0.0,0.3485169491525424,0.3491987183761168,0.43003096886392106
