scope,custom_term_hit_rate,headline_count,avg_active_ticker_coverage,raw_baseline_mean,raw_extended_mean,raw_mean_difference,raw_mean_abs_difference,raw_pearson_corr,raw_spearman_corr,z_baseline_mean,z_extended_mean,z_mean_difference,z_mean_abs_difference,z_pearson_corr,z_spearman_corr,z_band_change_rate,z_extreme_date_overlap_jaccard
Overall,0.025774744027303755,109875,0.7635325365205843,0.0755487343672416,0.07294814470937717,-0.0026005896578644365,0.0071635756681712485,0.9550941899014492,0.9500351492050874,0.022411364130501724,0.0149416543862076,-0.007469709744294123,0.07200715372702558,0.9593241117311165,0.9506166763333893,0.06060606060606061,0.6666666666666666
Comm,0.015979620194534506,8636,0.7657370517928286,0.06384103745521626,0.06379311494824565,-4.7922506970607645e-05,0.005986654656692855,0.9734827195881331,0.9696162506037443,0.03197172843098024,0.019738993762419728,-0.012232734668560506,0.0769663694669965,0.9730795280191148,0.9710552096006655,0.06432748538011696,0.8461538461538461
Consumer,0.022816166883963495,18408,0.9410358565737053,0.06587467017170796,0.06448816749646258,-0.0013865026752453856,0.008322382838274642,0.954872011632508,0.9434399644317937,-0.017575446503614003,0.0072699991391048276,0.024845445642718827,0.14271763309874133,0.9602672337356961,0.9476486912200806,0.12700729927007298,0.7872340425531915
Energy,0.02786022665947113,14824,0.8555112881806108,0.06904102738677187,0.06756031927966158,-0.0014807081071103018,0.010720069823095733,0.9501750876727124,0.9573045909909828,0.1089777211755333,0.10126151494221361,-0.007716206233319673,0.11430924334978163,0.9484953072197863,0.9592975181431793,0.10380116959064327,0.7966101694915254
Financials,0.03291336353340883,14128,0.8783532536520584,0.07345199847219477,0.0703295435288373,-0.0031224549433574718,0.011377403179402128,0.9489938394920086,0.9494019340792519,-0.10378865175661635,-0.10504210720603442,-0.0012534554494181,0.15209953034236293,0.9525466516909514,0.9508406424970515,0.12846715328467154,0.6326530612244898
Healthcare,0.019169008430349257,9964,0.8438247011952191,0.07807714162305632,0.07594555244546297,-0.002131589177593332,0.007773332094943869,0.9419357916530757,0.946406247377559,0.025362353772973148,0.0026789096638635827,-0.02268344410910958,0.11238408700847138,0.9381298692640785,0.9454312111621027,0.08333333333333333,0.8289473684210527
Industrials,0.02789965125435932,8889,0.7301460823373174,0.07929437071313183,0.07558494645576866,-0.003709424257363173,0.01050471995201664,0.9549059418273422,0.9533092986745298,0.1139359450696552,0.10557427246004635,-0.008361672609608852,0.13120054171633433,0.9548604515682045,0.9537621052482241,0.10218978102189781,0.8247422680412371
Materials,0.023015873015873017,3780,0.5386454183266932,0.05757075336883872,0.053279088052582586,-0.004291665316256131,0.010665407537102137,0.9405499998758713,0.9502767455191866,0.016821541010504867,0.0018600583930138065,-0.014961482617491055,0.1261378163009516,0.9423136801272293,0.9482172715371021,0.08422664624808576,0.7294117647058823
RealEstate,0.01604530438886267,4238,0.5872509960159363,0.09879299344590009,0.0941552178549494,-0.004637775590950697,0.008248574620019768,0.9513038966364789,0.9448950615058658,-0.028616717059020455,-0.04600498614474874,-0.017388269085728277,0.09207674638305567,0.947061271061309,0.9397168475696083,0.07680491551459294,0.7941176470588235
Tech,0.03210194476511855,22522,0.8926958831341302,0.07291029981112353,0.073768836121311,0.0008585363101874594,0.010867197655934269,0.9450547918425604,0.9366968887248007,-0.027333448800596735,-0.040095133258458975,-0.012761684457862245,0.1444360068737958,0.9456297745875217,0.9404373757541288,0.12987012987012986,0.6666666666666666
Utilities,0.01761034329023629,4486,0.6021248339973438,0.08990003908235392,0.08321958524564124,-0.00668045383671268,0.00817297731600731,0.9662910188692267,0.94722017303414,-0.019054876044039392,-0.015460075588011045,0.00359480045602835,0.10010488054249381,0.965181071366399,0.9453498793576769,0.12859304084720122,0.8125
